"naam";"voornaam";"fractie";"email";"straat";"straat-nr";"postcode";"gemeente";"deelstaatsenator";"uitgebreid-bureau-functie";"kieskring";"website";"fotowebpath";"id";
"El Kaouakibi";"Sihame";"Open Vld";"sihame.elkaouakibi@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.sihame.be";"http://docs.vlaamsparlement.be/pfile?id=1482861";"4396";
"Fournier";"Martine";"CD&V";"martine.fournier@vlaamsparlement.be";"Oude Leielaan";"42";"8930";"MENEN";"deelstaatsenator";"";"Kieskring West-Vlaanderen";"https://www.martinefournier.be";"http://docs.vlaamsparlement.be/pfile?id=1541336";"3299";
"Gennez";"Caroline";"sp.a";"caroline.gennez@s-p-a.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"secretaris";"Kieskring Antwerpen";"http://www.carolinegennez.be";"http://docs.vlaamsparlement.be/pfile?id=1478556";"2836";
"Goeman";"Hannelore";"sp.a";"hannelore.goeman@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"fractievoorzitter";"Kieskring Brussel-Hoofdstad";"https://www.hanneloregoeman.be";"http://docs.vlaamsparlement.be/pfile?id=1482455";"4397";
"Groothedde";"Celia";"Groen";"celia.groothedde@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Brussel-Hoofdstad";;"http://docs.vlaamsparlement.be/pfile?id=1483274";"4398";
"Grosemans";"Karolien";"N-VA";"karolien.grosemans@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Limburg";"https://www.karolien-grosemans.be";"http://docs.vlaamsparlement.be/pfile?id=1482465";"4399";
"Gryffroy";"Andries";"N-VA";"andries.gryffroy@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Oost-Vlaanderen";"https://www.andriesgryffroy.be";"http://docs.vlaamsparlement.be/pfile?id=1482615";"4077";
"Homans";"Liesbeth";"N-VA";"liesbeth.homans@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"voorzitter";"Kieskring Antwerpen";"http://www.liesbethhomans.be";"http://docs.vlaamsparlement.be/pfile?id=1482514";"3411";
"Jans";"Vera";"CD&V";"vera.jans@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Limburg";;"http://docs.vlaamsparlement.be/pfile?id=1482741";"2808";
"Janssens";"Chris";"Vlaams Belang";"chris.janssens@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"fractievoorzitter";"Kieskring Limburg";;"http://docs.vlaamsparlement.be/pfile?id=1482447";"3418";
"Joosen";"Sofie";"N-VA";"sofie.joosen@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.sofiejoosen.be";"http://docs.vlaamsparlement.be/pfile?id=1478804";"4078";
"Keulen";"Marino";"Open Vld";"marino.keulen@vlaamsparlement.be";"Dassenpad";"2";"3620";"LANAKEN";"";"";"Kieskring Limburg";"http://www.marinokeulen.be";"http://docs.vlaamsparlement.be/pfile?id=1482713";"1834";
"Krekels";"Kathleen";"N-VA";"kathleen.krekels@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.kathleenkrekels.be";"http://docs.vlaamsparlement.be/pfile?id=1542719";"4079";
"Laeremans";"Jan";"Vlaams Belang";"jan.laeremans@telenet.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";;"http://docs.vlaamsparlement.be/pfile?id=1482460";"4400";
"Lambrecht";"Annick";"sp.a";"annick.lambrecht@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring West-Vlaanderen";"https://www.annicklambrecht.be";"http://docs.vlaamsparlement.be/pfile?id=1482442";"4402";
"Maertens";"Bert";"N-VA";"bert.maertens@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring West-Vlaanderen";"https://www.bertmaertens.be";"http://docs.vlaamsparlement.be/pfile?id=1478881";"4110";
"Malfroot";"Ilse";"Vlaams Belang";"ilse.malfroot@vlaamsbelang.org";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482706";"4403";
"Meremans";"Marius";"N-VA";"marius.meremans@n-va.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"https://www.mariusmeremans.be";"http://docs.vlaamsparlement.be/pfile?id=1478713";"3919";
"Meuleman";"Elisabeth";"Groen";"elisabeth.meuleman@groen.be";"Jacob Lacopsstraat";"33";"9700";"OUDENAARDE";"";"";"Kieskring Oost-Vlaanderen";"https://www.elisabethmeuleman.be";"http://docs.vlaamsparlement.be/pfile?id=1478466";"3173";
"Moerenhout";"An";"Groen";"an.moerenhout@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";"https://www.anmoerenhout.be";"http://docs.vlaamsparlement.be/pfile?id=1478751";"4058";
"Muyters";"Philippe";"N-VA";"philippe.muyters@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Antwerpen";"https://www.philippemuyters.be";"http://docs.vlaamsparlement.be/pfile?id=1482432";"3461";
"Nachtergaele";"Joris";"N-VA";"joris.nachtergaele@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1487409";"4442";
"Ongena";"Tom";"Open Vld";"Tom.Ongena@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1487410";"4445";
"Partyka";"Katrien";"CD&V";"burgemeester@tienen.be";"Grote Markt";"27";"3300";"TIENEN";"";"";"Kieskring Vlaams-Brabant";"https://www.katrienpartyka.be/";"http://docs.vlaamsparlement.be/pfile?id=1478755";"4059";
"Parys";"Lorin";"N-VA";"lorin@lorinparys.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"secretaris";"Kieskring Vlaams-Brabant";"https://www.lorinparys.be";"http://docs.vlaamsparlement.be/pfile?id=1478814";"4083";
"Pelckmans";"Gustaaf";"Groen";"staf.pelckmans@groen.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.stafpelckmans.be";"http://docs.vlaamsparlement.be/pfile?id=1541987";"4404";
"Perdaens";"Freya";"N-VA";"freya.perdaens@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Antwerpen";"https://www.freyaperdaens.be/";"http://docs.vlaamsparlement.be/pfile?id=1485627";"4405";
"Pieters";"Leo";"Vlaams Belang";"leo.pieters@vlaamsbelang.org";"Diestersteenweg";"470";"3680";"MAASEIK";"deelstaatsenator";"";"Kieskring Limburg";;"http://docs.vlaamsparlement.be/pfile?id=1482470";"3298";
"Robeyns";"Els";"sp.a";"els.robeyns@vlaamsparlement.be";"Bloemenstraat";"41";"3830";"WELLEN";"";"";"Kieskring Limburg";"http://www.elsrobeyns.be";"http://docs.vlaamsparlement.be/pfile?id=1478608";"3221";
"Rombouts";"Tinne";"CD&V";"tinne.rombouts@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.tinnerombouts.be";"http://docs.vlaamsparlement.be/pfile?id=1478267";"2832";
"Ronse";"Axel";"N-VA";"axel_ronse@hotmail.com";"Spinnerijkaai";"45/205";"8500";"KORTRIJK";"";"";"Kieskring West-Vlaanderen";"https://www.axelronse.be";"http://docs.vlaamsparlement.be/pfile?id=1493324";"4060";
"Rousseau";"Conner";"sp.a";"conner.rousseau@s-p-a.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"https://www.conner.be";"http://docs.vlaamsparlement.be/pfile?id=1482449";"4406";
"Rutten";"Gwendolyn";"Open Vld";"gwendolyn.rutten@vlaamsparlement.be";"Melsensstraat";"34";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";"http://www.gwendolynrutten.be";"http://docs.vlaamsparlement.be/pfile?id=1482708";"4061";
"Ryheul";"Carmen";"Vlaams Belang";"carmen.ryheul@vlaamsbelang.org";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring West-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482720";"4408";
"Rzoska";"Björn";"Groen";"bjorn.rzoska@groen.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"fractievoorzitter";"Kieskring Oost-Vlaanderen";"https://www.bjornrzoska.be";"http://docs.vlaamsparlement.be/pfile?id=1478718";"3920";
"Saeys";"Freya";"Open Vld";"freya.saeys@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"http://www.freyasaeys.be";"http://docs.vlaamsparlement.be/pfile?id=1484936";"4086";
"Schauvliege";"Joke";"CD&V";"joke.schauvliege@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"tweede ondervoorzitter";"Kieskring Oost-Vlaanderen";"http://www.jokeschauvliege.be";"http://docs.vlaamsparlement.be/pfile?id=1478493";"2831";
"Schauvliege";"Mieke";"Groen";"mieke.schauvliege@groen.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482479";"4409";
"Schiltz";"Willem-Frederik";"Open Vld";"willem-frederik.schiltz@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"fractievoorzitter";"Kieskring Antwerpen";"https://www.wfschiltz.be";"http://docs.vlaamsparlement.be/pfile?id=1478765";"4062";
"Schryvers";"Katrien";"CD&V";"katrien.schryvers@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"http://www.katrienschryvers.be";"http://docs.vlaamsparlement.be/pfile?id=1482712";"3433";
"Segers";"Katia";"sp.a";"katia.segers@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Vlaams-Brabant";"http://www.s-p-a.be/mandataris/segerskatia";"http://docs.vlaamsparlement.be/pfile?id=1478824";"4087";
"Sintobin";"Stefaan";"Vlaams Belang";"stefaan.sintobin@vlaamsparlement.be";;;;;"";"";"Kieskring West-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1478515";"2825";
"Slagmulder";"Kristof";"Vlaams Belang";"kristof.slagmulder@vlaamsbelang.org";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482468";"4410";
"Sleurs";"Elke";"N-VA";"elke.sleurs@n-va.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"https://www.elkesleurs.be";"http://docs.vlaamsparlement.be/pfile?id=1478826";"4088";
"Slootmans";"Klaas";"Vlaams Belang";"klaas.slootmans@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Vlaams-Brabant";;"http://docs.vlaamsparlement.be/pfile?id=1483275";"4412";
"Smeyers";"Sarah";"N-VA";"sarah.smeyers@n-va.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"https://www.sarahsmeyers.be";"http://docs.vlaamsparlement.be/pfile?id=1482481";"4413";
"Sminate";"Nadia";"N-VA";"nadia.sminate@n-va.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"derde ondervoorzitter";"Kieskring Vlaams-Brabant";"https://www.nadiasminate.be";"http://docs.vlaamsparlement.be/pfile?id=1478828";"4089";
"Steenwegen";"Chris";"Groen";"chris.steenwegen@groen.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Vlaams-Brabant";;"http://docs.vlaamsparlement.be/pfile?id=1482448";"4414";
"Sterckx";"Els";"Vlaams Belang";"els.sterckx@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1482450";"4416";
"Talpe";"Emmily";"Open Vld";"emmily.talpe@vlaamsparlement.be";"Poperingseweg";"73";"8900";"IEPER";"";"";"Kieskring West-Vlaanderen";"https://www.emmily.be";"http://docs.vlaamsparlement.be/pfile?id=1482711";"4272";
"Tavernier";"Annabel";"N-VA";"annabel.tavernier@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Brussel-Hoofdstad";;"http://docs.vlaamsparlement.be/pfile?id=1484545";"4417";
"Tobback";"Bruno";"sp.a";"bruno.tobback@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";;"http://docs.vlaamsparlement.be/pfile?id=1482445";"1882";
"Tommelein";"Bart";"Open Vld";"bart@tommelein.be";"Distellaan";"76";"8400";"OOSTENDE";"";"vierde ondervoorzitter";"Kieskring West-Vlaanderen";"https://www.tommelein.be";"http://docs.vlaamsparlement.be/pfile?id=1482710";"3434";
"Vandaele";"Wilfried";"N-VA";"wilfried.vandaele@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"fractievoorzitter";"Kieskring West-Vlaanderen";"https://www.wilfriedvandaele.be";"http://docs.vlaamsparlement.be/pfile?id=1478470";"3464";
"Vandecasteele";"Lise";"PVDA";"lise.vandecasteele@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1482471";"4415";
"Vandenberghe";"Steve";"sp.a";"steve.vandenberghe@vlaamsparlement.be";"Ganzenstraat";"25";"8450";"BREDENE";"";"";"Kieskring West-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1478731";"4107";
"Van den Bossche";"Freya";"sp.a";"freya.vandenbossche@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"http://www.freyavandenbossche.be";"http://docs.vlaamsparlement.be/pfile?id=1478605";"3458";
"Van den Brande";"Tine";"Groen";"tine.vandenbrande@groen.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1486545";"4419";
"Van den Heuvel";"Koen";"CD&V";"koen.vandenheuvel@vlaamsparlement.be";"Leemgaard";"18";"2870";"PUURS-SINT-AMANDS";"";"";"Kieskring Antwerpen";"http://www.koenvandenheuvel.be";"http://docs.vlaamsparlement.be/pfile?id=1483324";"2815";
"Vandenhove";"Ludwig";"sp.a";"ludwig.vandenhove@vlaamsparlement.be";"Kommanderijstraat";"3";"3800";"SINT-TRUIDEN";"";"";"Kieskring Limburg";"https://www.ludwigvandenhove.be";"http://docs.vlaamsparlement.be/pfile?id=1482473";"4423";
"Vandeput";"Steven";"N-VA";"steven.vandeput@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Limburg";"https://www.stevenvandeput.be";"http://docs.vlaamsparlement.be/pfile?id=1482485";"4424";
"Vande Reyde";"Maurits";"Open Vld";"maurits.vandereyde@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";"https://www.mauritsvdr.be";"http://docs.vlaamsparlement.be/pfile?id=1588415";"4422";
"Van dermeersch";"Anke";"Vlaams Belang";"anke.vandermeersch@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Antwerpen";"http://www.ankevandermeersch.be";"http://docs.vlaamsparlement.be/pfile?id=1483810";"4095";
"van der Vloet";"Tine";"N-VA";"tine.vandervloet@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.tinevandervloet.be";"http://docs.vlaamsparlement.be/pfile?id=1542930";"4094";
"Van de Wauwer";"Orry";"CD&V";"orry.vandewauwer@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Antwerpen";"http://www.orry.be";"http://docs.vlaamsparlement.be/pfile?id=1478874";"4356";
"Van Dijck";"Kris";"N-VA";"kris.vandijck@vlaamsparlement.be";"Heegstraat";"12";"2480";"DESSEL";"";"";"Kieskring Antwerpen";"https://www.krisvandijck.be";"http://docs.vlaamsparlement.be/pfile?id=1482672";"1895";
"Vandromme";"Loes";"CD&V";"loes.vandromme@vlaamsparlement.be";"Komstraat";"84";"8970";"POPERINGE";"";"";"Kieskring West-Vlaanderen";"https://www.loesvandromme.be/";"http://docs.vlaamsparlement.be/pfile?id=1482472";"4425";
